JDBC Connection [HikariProxyConnection@1345069688 wrapping org.postgresql.jdbc.PgConnection@21f7e537] will be managed by Spring
==>  Preparing: INSERT INTO staff ( name, age, gender, number, supply_center, mobile_number, type ) VALUES ( ?, ?, ?, ?, ?, ?, ? ) 
==> Parameters: Kong Yibo(String), 47(Long), Female(String), 11311024(String), America(String), 15038403217(String), Director(String)
==>  Preparing: select supply_center from supply_center where name = ? 
==> Parameters: Northern China(String)
<==    Columns: supply_center
<==        Row: ("Northern China")
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select product from model where product = ? 
==> Parameters: Sound Card(String)
<==    Columns: product
<==        Row: Sound Card
<==        Row: Sound Card
<==        Row: Sound Card
<==      Total: 3
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select number from staff where number = ? 
==> Parameters: 11412615(String)
<==    Columns: number
<==        Row: 11412615
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from staff where staff.number = ? 
==> Parameters: 11412615(String)
<==    Columns: supply_center
<==        Row: Europe
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 11710328(String)
<==    Columns: type
<==        Row: Supply Staff
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from supply_center where name = ? 
==> Parameters: Asia(String)
<==    Columns: supply_center
<==        Row: (Asia)
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select product from model where product = ? 
==> Parameters: Screen Splitter(String)
<==    Columns: product
<==        Row: Screen Splitter
<==        Row: Screen Splitter
<==        Row: Screen Splitter
<==        Row: Screen Splitter
<==        Row: Screen Splitter
<==      Total: 5
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select number from staff where number = ? 
==> Parameters: 11710328(String)
<==    Columns: number
<==        Row: 11710328
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from staff where staff.number = ? 
==> Parameters: 11710328(String)
<==    Columns: supply_center
<==        Row: Asia
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into stock_in_record(supply_center,product_model,supply_staff,date,purchase_price,quantity) values(?,?,?,?,?,?) 
==> Parameters: Asia(String), ScreenSplitterB7(String), 11710328(String), 2008-02-14(Date), 379(Long), 355(Long)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select product_model from inventory where supply_center = ? and product_model = ? 
==> Parameters: Asia(String), ScreenSplitterB7(String)
<==      Total: 0
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into inventory(supply_center,product_model,importnum,exportnum,totalcost,totalinterest,stockInNum,placeOrderNum) values(?,?,?,?,?,?,?,?) 
==> Parameters: Asia(String), ScreenSplitterB7(String), 355(Long), 0(Long), 134545(Long), 0(Long), 1(Long), 0(Long)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 11612422(String)
<==    Columns: type
<==        Row: Supply Staff
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from supply_center where name = ? 
==> Parameters: Southern China(String)
<==    Columns: supply_center
<==        Row: ("Southern China")
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select product from model where product = ? 
==> Parameters: Game Console Film(String)
<==    Columns: product
<==        Row: Game Console Film
<==        Row: Game Console Film
<==      Total: 2
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select number from staff where number = ? 
==> Parameters: 11612422(String)
<==    Columns: number
<==        Row: 11612422
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from staff where staff.number = ? 
==> Parameters: 11612422(String)
<==    Columns: supply_center
<==        Row: Southern China
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into stock_in_record(supply_center,product_model,supply_staff,date,purchase_price,quantity) values(?,?,?,?,?,?) 
==> Parameters: Southern China(String), GameConsoleFilmN2(String), 11612422(String), 2008-03-28(Date), 162(Long), 607(Long)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select product_model from inventory where supply_center = ? and product_model = ? 
==> Parameters: Southern China(String), GameConsoleFilmN2(String)
<==      Total: 0
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into inventory(supply_center,product_model,importnum,exportnum,totalcost,totalinterest,stockInNum,placeOrderNum) values(?,?,?,?,?,?,?,?) 
==> Parameters: Southern China(String), GameConsoleFilmN2(String), 607(Long), 0(Long), 98334(Long), 0(Long), 1(Long), 0(Long)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 11310827(String)
<==    Columns: type
<==        Row: Supply Staff
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from supply_center where name = ? 
==> Parameters: America(String)
<==    Columns: supply_center
<==        Row: (America)
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select product from model where product = ? 
==> Parameters: Repeater(String)
<==    Columns: product
<==        Row: Repeater
<==        Row: Repeater
<==        Row: Repeater
<==        Row: Repeater
<==        Row: Repeater
<==      Total: 5
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select number from staff where number = ? 
==> Parameters: 11310827(String)
<==    Columns: number
<==        Row: 11310827
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from staff where staff.number = ? 
==> Parameters: 11310827(String)
<==    Columns: supply_center
<==        Row: America
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into stock_in_record(supply_center,product_model,supply_staff,date,purchase_price,quantity) values(?,?,?,?,?,?) 
==> Parameters: America(String), RepeaterV9(String), 11310827(String), 2008-04-06(Date), 532(Long), 768(Long)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select product_model from inventory where supply_center = ? and product_model = ? 
==> Parameters: America(String), RepeaterV9(String)
<==      Total: 0
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into inventory(supply_center,product_model,importnum,exportnum,totalcost,totalinterest,stockInNum,placeOrderNum) values(?,?,?,?,?,?,?,?) 
==> Parameters: America(String), RepeaterV9(String), 768(Long), 0(Long), 408576(Long), 0(Long), 1(Long), 0(Long)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 11210524(String)
<==    Columns: type
<==        Row: Supply Staff
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from supply_center where name = ? 
==> Parameters: Europe(String)
<==    Columns: supply_center
<==        Row: (Europe)
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select product from model where product = ? 
==> Parameters: Fiber Optic Cable(String)
<==    Columns: product
<==        Row: Fiber Optic Cable
<==        Row: Fiber Optic Cable
<==        Row: Fiber Optic Cable
<==      Total: 3
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select number from staff where number = ? 
==> Parameters: 11210524(String)
<==    Columns: number
<==        Row: 11210524
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from staff where staff.number = ? 
==> Parameters: 11210524(String)
<==    Columns: supply_center
<==        Row: Europe
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into stock_in_record(supply_center,product_model,supply_staff,date,purchase_price,quantity) values(?,?,?,?,?,?) 
==> Parameters: Europe(String), FiberOpticCableT6(String), 11210524(String), 2008-06-03(Date), 130(Long), 765(Long)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select product_model from inventory where supply_center = ? and product_model = ? 
==> Parameters: Europe(String), FiberOpticCableT6(String)
<==      Total: 0
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into inventory(supply_center,product_model,importnum,exportnum,totalcost,totalinterest,stockInNum,placeOrderNum) values(?,?,?,?,?,?,?,?) 
==> Parameters: Europe(String), FiberOpticCableT6(String), 765(Long), 0(Long), 99450(Long), 0(Long), 1(Long), 0(Long)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 11512206(String)
<==    Columns: type
<==        Row: Supply Staff
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from supply_center where name = ? 
==> Parameters: Eastern China(String)
<==    Columns: supply_center
<==        Row: ("Eastern China")
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select product from model where product = ? 
==> Parameters: Laminator Mo Drive(String)
<==    Columns: product
<==        Row: Laminator Mo Drive
<==        Row: Laminator Mo Drive
<==        Row: Laminator Mo Drive
<==        Row: Laminator Mo Drive
<==      Total: 4
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select number from staff where number = ? 
==> Parameters: 11512206(String)
<==    Columns: number
<==        Row: 11512206
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from staff where staff.number = ? 
==> Parameters: 11512206(String)
<==    Columns: supply_center
<==        Row: Eastern China
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into stock_in_record(supply_center,product_model,supply_staff,date,purchase_price,quantity) values(?,?,?,?,?,?) 
==> Parameters: Eastern China(String), LaminatorMoDriveP4(String), 11512206(String), 2008-10-03(Date), 586(Long), 526(Long)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select product_model from inventory where supply_center = ? and product_model = ? 
==> Parameters: Eastern China(String), LaminatorMoDriveP4(String)
<==      Total: 0
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into inventory(supply_center,product_model,importnum,exportnum,totalcost,totalinterest,stockInNum,placeOrderNum) values(?,?,?,?,?,?,?,?) 
==> Parameters: Eastern China(String), LaminatorMoDriveP4(String), 526(Long), 0(Long), 308236(Long), 0(Long), 1(Long), 0(Long)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 12010417(String)
<==    Columns: type
<==        Row: Supply Staff
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from supply_center where name = ? 
==> Parameters: Southern China(String)
<==    Columns: supply_center
<==        Row: ("Southern China")
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select product from model where product = ? 
==> Parameters: E-Book(String)
<==    Columns: product
<==        Row: E-Book
<==        Row: E-Book
<==        Row: E-Book
<==        Row: E-Book
<==      Total: 4
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select number from staff where number = ? 
==> Parameters: 12010417(String)
<==    Columns: number
<==        Row: 12010417
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from staff where staff.number = ? 
==> Parameters: 12010417(String)
<==    Columns: supply_center
<==        Row: Southern China
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into stock_in_record(supply_center,product_model,supply_staff,date,purchase_price,quantity) values(?,?,?,?,?,?) 
==> Parameters: Southern China(String), E-BookF8(String), 12010417(String), 2008-10-11(Date), 664(Long), 817(Long)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select product_model from inventory where supply_center = ? and product_model = ? 
==> Parameters: Southern China(String), E-BookF8(String)
<==      Total: 0
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into inventory(supply_center,product_model,importnum,exportnum,totalcost,totalinterest,stockInNum,placeOrderNum) values(?,?,?,?,?,?,?,?) 
==> Parameters: Southern China(String), E-BookF8(String), 817(Long), 0(Long), 542488(Long), 0(Long), 1(Long), 0(Long)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 11511720(String)
<==    Columns: type
<==        Row: Supply Staff
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from supply_center where name = ? 
==> Parameters: Southwestern China(String)
<==    Columns: supply_center
<==        Row: ("Southwestern China")
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select product from model where product = ? 
==> Parameters: Large Format Printer(String)
<==    Columns: product
<==        Row: Large Format Printer
<==        Row: Large Format Printer
<==        Row: Large Format Printer
<==        Row: Large Format Printer
<==      Total: 4
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select number from staff where number = ? 
==> Parameters: 11511720(String)
<==    Columns: number
<==        Row: 11511720
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from staff where staff.number = ? 
==> Parameters: 11511720(String)
<==    Columns: supply_center
<==        Row: Southwestern China
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into stock_in_record(supply_center,product_model,supply_staff,date,purchase_price,quantity) values(?,?,?,?,?,?) 
==> Parameters: Southwestern China(String), LargeFormatPrinterD9(String), 11511720(String), 2008-04-30(Date), 636(Long), 809(Long)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select product_model from inventory where supply_center = ? and product_model = ? 
==> Parameters: Southwestern China(String), LargeFormatPrinterD9(String)
<==      Total: 0
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into inventory(supply_center,product_model,importnum,exportnum,totalcost,totalinterest,stockInNum,placeOrderNum) values(?,?,?,?,?,?,?,?) 
==> Parameters: Southwestern China(String), LargeFormatPrinterD9(String), 809(Long), 0(Long), 514524(Long), 0(Long), 1(Long), 0(Long)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 12111022(String)
<==    Columns: type
<==        Row: Supply Staff
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from supply_center where name = ? 
==> Parameters: America(String)
<==    Columns: supply_center
<==        Row: (America)
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select product from model where product = ? 
==> Parameters: Digitizer(String)
<==    Columns: product
<==        Row: Digitizer
<==        Row: Digitizer
<==        Row: Digitizer
<==        Row: Digitizer
<==        Row: Digitizer
<==      Total: 5
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select number from staff where number = ? 
==> Parameters: 12111022(String)
<==    Columns: number
<==        Row: 12111022
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from staff where staff.number = ? 
==> Parameters: 12111022(String)
<==    Columns: supply_center
<==        Row: America
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into stock_in_record(supply_center,product_model,supply_staff,date,purchase_price,quantity) values(?,?,?,?,?,?) 
==> Parameters: America(String), DigitizerX4(String), 12111022(String), 2008-01-07(Date), 541(Long), 660(Long)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select product_model from inventory where supply_center = ? and product_model = ? 
==> Parameters: America(String), DigitizerX4(String)
<==      Total: 0
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into inventory(supply_center,product_model,importnum,exportnum,totalcost,totalinterest,stockInNum,placeOrderNum) values(?,?,?,?,?,?,?,?) 
==> Parameters: America(String), DigitizerX4(String), 660(Long), 0(Long), 357060(Long), 0(Long), 1(Long), 0(Long)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 11710828(String)
<==    Columns: type
<==        Row: Supply Staff
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from supply_center where name = ? 
==> Parameters: Northern China(String)
<==    Columns: supply_center
<==        Row: ("Northern China")
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select product from model where product = ? 
==> Parameters: Office Software(String)
<==    Columns: product
<==        Row: Office Software
<==        Row: Office Software
<==        Row: Office Software
<==        Row: Office Software
<==      Total: 4
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select number from staff where number = ? 
==> Parameters: 11710828(String)
<==    Columns: number
<==        Row: 11710828
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from staff where staff.number = ? 
==> Parameters: 11710828(String)
<==    Columns: supply_center
<==        Row: Northern China
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into stock_in_record(supply_center,product_model,supply_staff,date,purchase_price,quantity) values(?,?,?,?,?,?) 
==> Parameters: Northern China(String), OfficeSoftwareD7(String), 11710828(String), 2008-10-31(Date), 929(Long), 502(Long)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select product_model from inventory where supply_center = ? and product_model = ? 
==> Parameters: Northern China(String), OfficeSoftwareD7(String)
<==      Total: 0
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into inventory(supply_center,product_model,importnum,exportnum,totalcost,totalinterest,stockInNum,placeOrderNum) values(?,?,?,?,?,?,?,?) 
==> Parameters: Northern China(String), OfficeSoftwareD7(String), 502(Long), 0(Long), 466358(Long), 0(Long), 1(Long), 0(Long)
<==    Updates: 1
